source,type,timestamp,packet_id,src,dst,hops,from_dir,to_dir,creation_time,deliver_time,traffic,weight
packet,packet_arrived,2025-09-13 12:46:11.119610,36,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:53,2025-09-13 12:46:11,0.04,56.37
router,packet_routed,2025-09-13 12:46:11.179885,37,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:12.280362,40,,,0,local,north,,,0.04,
router,packet_routed,2025-09-13 12:46:13.965947,39,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:46:13.998796,41,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:14.266252,40,,,0,south,west,,,0.04,
packet,packet_arrived,2025-09-13 12:46:15.099746,38,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:00,2025-09-13 12:46:15,0.04,34.17
router,packet_routed,2025-09-13 12:46:15.783873,41,,,0,north,local,,,0.04,
packet,packet_arrived,2025-09-13 12:46:15.958308,37,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:57,2025-09-13 12:46:15,0.04,52.85
router,packet_routed,2025-09-13 12:46:16.218346,39,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:46:17.385396,40,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:19.239014,42,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:46:19.584754,41,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:09,2025-09-13 12:46:19,0.04,34.17
router,packet_routed,2025-09-13 12:46:20.849325,43,,,0,local,north,,,0.04,
router,packet_routed,2025-09-13 12:46:21.539418,42,,,0,north,east,,,0.04,
packet,packet_arrived,2025-09-13 12:46:21.680489,40,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:06,2025-09-13 12:46:21,0.04,52.85
router,packet_routed,2025-09-13 12:46:23.004424,44,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:46:23.441314,39,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:02,2025-09-13 12:46:23,0.04,56.37
router,packet_routed,2025-09-13 12:46:24.139548,43,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:46:27.513526,42,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:46:27.763181,45,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:28.937695,44,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:46:29.899679,43,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:30.233420,45,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:46:33.005151,46,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:46:33.500599,42,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:10,2025-09-13 12:46:33,0.04,56.37
router,packet_routed,2025-09-13 12:46:34.302774,45,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:46:35.237070,47,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:46:35.637725,44,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:19,2025-09-13 12:46:35,0.04,34.17
router,packet_routed,2025-09-13 12:46:36.433343,46,,,0,south,west,,,0.04,
packet,packet_arrived,2025-09-13 12:46:36.655421,43,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:14,2025-09-13 12:46:36,0.04,52.85
router,packet_routed,2025-09-13 12:46:37.716682,48,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:38.057920,47,,,0,north,local,,,0.04,
packet,packet_arrived,2025-09-13 12:46:38.869222,45,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:20,2025-09-13 12:46:38,0.04,56.37
router,packet_routed,2025-09-13 12:46:38.947305,46,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:39.724191,48,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:46:39.948110,49,,,0,local,north,,,0.04,
router,packet_routed,2025-09-13 12:46:41.393507,50,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:42.238189,49,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:46:42.293007,48,,,0,west,local,,,0.04,
packet,packet_arrived,2025-09-13 12:46:42.544654,46,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:22,2025-09-13 12:46:42,0.04,52.85
packet,packet_arrived,2025-09-13 12:46:42.893305,47,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:28,2025-09-13 12:46:42,0.04,34.17
router,packet_routed,2025-09-13 12:46:43.929399,51,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:44.626960,50,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:46:45.446998,49,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:47.449800,52,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:46:47.643436,48,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:31,2025-09-13 12:46:47,0.04,56.37
router,packet_routed,2025-09-13 12:46:47.796003,51,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:46:49.826110,52,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:46:49.841475,53,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:49.952079,51,,,0,west,local,,,0.04,
packet,packet_arrived,2025-09-13 12:46:50.065392,50,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:37,2025-09-13 12:46:50,0.04,34.17
packet,packet_arrived,2025-09-13 12:46:50.118932,49,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:35,2025-09-13 12:46:50,0.04,52.85
router,packet_routed,2025-09-13 12:46:50.318253,54,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:50.483936,52,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:51.098784,53,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:46:53.899249,54,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:46:54.506304,55,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:46:55.095596,51,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:39,2025-09-13 12:46:55,0.04,56.37
packet,packet_arrived,2025-09-13 12:46:55.466974,52,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:41,2025-09-13 12:46:55,0.04,52.85
router,packet_routed,2025-09-13 12:46:55.590256,54,,,0,west,local,,,0.04,
packet,packet_arrived,2025-09-13 12:46:55.725820,53,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:44,2025-09-13 12:46:55,0.04,34.17
router,packet_routed,2025-09-13 12:46:56.725527,55,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:46:56.905465,56,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:58.364224,57,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:00.676396,56,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:47:00.692414,55,,,0,east,local,,,0.04,
packet,packet_arrived,2025-09-13 12:47:01.058026,54,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:46,2025-09-13 12:47:01,0.04,56.37
router,packet_routed,2025-09-13 12:47:01.830101,57,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:47:02.065269,58,,,0,local,north,,,0.04,
router,packet_routed,2025-09-13 12:47:05.592182,57,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:47:05.637887,59,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:47:05.747995,56,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:51,2025-09-13 12:47:05,0.04,34.17
router,packet_routed,2025-09-13 12:47:05.801362,58,,,0,south,west,,,0.04,
packet,packet_arrived,2025-09-13 12:47:06.117680,55,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:49,2025-09-13 12:47:06,0.04,52.85
router,packet_routed,2025-09-13 12:47:06.601264,60,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:07.986194,59,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:47:09.220845,58,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:47:09.798462,60,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:47:10.606816,61,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:47:11.672505,57,"(1, 1)","(2, 2)",3,,,2025-09-13 12:46:54,2025-09-13 12:47:11,0.04,56.37
router,packet_routed,2025-09-13 12:47:12.223806,60,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:47:12.508062,62,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:12.830665,61,,,0,south,west,,,0.04,
packet,packet_arrived,2025-09-13 12:47:12.925522,59,"(0, 0)","(1, 0)",2,,,2025-09-13 12:46:59,2025-09-13 12:47:12,0.04,34.17
packet,packet_arrived,2025-09-13 12:47:12.992906,58,"(1, 1)","(0, 0)",3,,,2025-09-13 12:46:56,2025-09-13 12:47:12,0.04,52.85
router,packet_routed,2025-09-13 12:47:14.171884,62,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:47:14.311630,63,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:47:14.798726,61,,,0,east,local,,,0.04,
packet,packet_arrived,2025-09-13 12:47:15.398619,60,"(1, 1)","(2, 2)",3,,,2025-09-13 12:47:01,2025-09-13 12:47:15,0.04,56.37
router,packet_routed,2025-09-13 12:47:16.412839,63,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:47:18.583926,64,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:47:18.972470,62,"(0, 0)","(1, 0)",2,,,2025-09-13 12:47:06,2025-09-13 12:47:18,0.04,34.17
router,packet_routed,2025-09-13 12:47:20.598878,63,,,0,west,local,,,0.04,
